등급,어휘,품사,어종,원어,의미,日本語訳,定義,外来語_カタカナ候補,外来語_原語候補,品質フラグ,tags
1등급,요리,부사,고유어,,요 곳으로. 또는 요쪽으로.,,요 곳으로. 또는 요쪽으로.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,요리조리,부사,고유어,,일정한 방향이 없이 요쪽 조쪽으로.,,일정한 방향이 없이 요쪽 조쪽으로.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,요사이,명사,고유어,,이제까지의 매우 짧은 동안.,,이제까지의 매우 짧은 동안.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,요새,명사,고유어,,‘요사이’의 준말.,,‘요사이’의 준말.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,요즈음,명사,고유어,,바로 얼마 전부터 이제까지의 무렵.,,바로 얼마 전부터 이제까지의 무렵.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,요즘,명사,고유어,,‘요즈음’의 준말.,,‘요즈음’의 준말.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,우기다,동사,고유어,,억지를 부려 제 의견을 고집스럽게 내세우다.,,억지를 부려 제 의견을 고집스럽게 내세우다.,,,native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:native_manual_review risk:needs_manual_review
1등급,우뚝,부사,고유어,,"「1」두드러지게 높이 솟아 있는 모양.
「2」남보다 뛰어난 모양.
「3」움직이던 것이 갑자기 멈추는 모양.",,"「1」두드러지게 높이 솟아 있는 모양.
「2」남보다 뛰어난 모양.
「3」움직이던 것이 갑자기 멈추는 모양.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,우렁차다,형용사,고유어,,"「1」소리의 울림이 매우 크고 힘차다.
「2」매우 씩씩하고 힘차다.",,"「1」소리의 울림이 매우 크고 힘차다.
「2」매우 씩씩하고 힘차다.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
1등급,우르르,부사,고유어,,"「1」사람이나 동물 따위가 한꺼번에 움직이거나 한곳에 몰리는 모양.
「2」액체가 갑자기 끓어오르거나 넘치는 소리. 또는 그 모양.
「3」쌓여 있던 물건들이 갑자기 무너져 내리거나 쏟아질 때 나는 소리. 또는 그 모양.
「4」폭포수가 쏟아져 내리거나 천둥이 울리는 소리.",,"「1」사람이나 동물 따위가 한꺼번에 움직이거나 한곳에 몰리는 모양.
「2」액체가 갑자기 끓어오르거나 넘치는 소리. 또는 그 모양.
「3」쌓여 있던 물건들이 갑자기 무너져 내리거나 쏟아질 때 나는 소리. 또는 그 모양.
「4」폭포수가 쏟아져 내리거나 천둥이 울리는 소리.",,,multi_gloss|native_manual_review|needs_manual_review,source:level1 grade:1 type:native risk:multi_gloss risk:native_manual_review risk:needs_manual_review
