韓国語,品詞,日本語訳,定義,target_codes
내려가다,動詞,おりる【下りる】。くだる【下る】 | くだる【下る】 | くだる【下る】 | さがる【下がる】。おちる【落ちる】 | くだる【下る】 | こなれる【熟れる】 | さがる【下がる】 | さがる【下がる】。おちる【落ちる】 | おりる【下りる】。くだる【下る】 | おろす【下ろす】,上から下へ行く。 | 都心や中心地から地方へ行く。 | 北から南へ行く。 | 水準や等級が低くなる。 | 後世となる。 | 食べた物が消化される。 | 値段や統計数値、温度、物価などが低くなる。 | 音の高さが低くなる。 | 高い所から低い方へ移して行く。 | ある物を高い所から低い所へ移して行く。,63723
내려오다,動詞,おりる【下りる】。くだる【下る】 | くだる【下る】 | おちる【落ちる】。おろされる【下ろされる】 | くだる【下る】 | くだる【下る】 | くだる【下る】。すすむ【進む】 | うけつがれる【受け継がれる】 | おりる【下りる】。くだる【下る】 | おろす【下ろす】,高い所から低い所へ、また上から下へ来る。 | ソウルなど大都市から地方へ来る。 | 地位が低くなる。 | 北から南へ移動する。 | 計画や便り、命令などが上から下に伝わる。 | 基準になる所に近付く。 | 過去から現在まで伝わって来る。 | 高い所から低い方へ移して来る。 | ある物を高い所から低い所へ移して来る。,64559
내리다,動詞,ふる【降る】 | おりる【降りる】 | おちる【落ちる】。ひく【引く】 | おりる【降りる】 | おりる【降りる】。ちゃくりくする【着陸する】 | おりる【降りる】 | おろす【下ろす】。さげる【下げる】 | くだす【下す】 | おろす【下ろす】 | おろす【下ろす】 | かける【掛ける】 | さげる【下げる】。さがる【下がる】。おちる【落ちる】。おとす【落とす】 | こなれる【熟れる】。こなす【熟す】 | おろす【下ろす】。おりる【下りる】 | おろす【下ろす】 | くだす【下す】。くだされる【下される】。たまう【賜う】。たまわる【賜る】 | くだる【下る】。くだす【下す】,雪や雨などが落ちて来る。 | 闇や霧などが濃くなったり広がったりする。 | 肉や腫れなどが減る。 | 乗っている物から外に出て、ある所に着く。 | 飛行機などが地上に着いて止まる。 | 乗物から外や地面に移ったり出たりする。 | 上にある物を低い所や下の方に引き寄せたり垂らしたりする。 | あることに対する判断や決定などをする。 | 上にある物を下方へ移す。 | 上にある物を下方へ移しておく。 | 粉などをふるいを使って大きさによって選り分ける。 | 値段や数値、成績などが前より低くなる。また、そうする。 | 食べた物などが消化される。また、そうさせる。 | 幕やカーテンなどが上から垂れ下がる。また、そうさせる。 | 根が土中に伸びていく。また、そうさせる。 | 目上の人から目下の人に賞や罰などが与えられる。また、そうする。 | 命令や指示などが言い渡される。また、そうする。,73353
내용,名詞,ないよう【内容】。なかみ【中身】 | ないよう【内容】。なかみ【中身】。じったい【実体】 | ないよう【内容】。いみ【意味】,器・箱などの中に入っているもの。 | 物事の中身を構成している事情や都合。 | 言葉・文章・絵・映画などのあらすじ。または、伝えようとする事柄。,72573
내일,名詞/副詞,あした・あす・みょうにち【明日】 | あした・あす【明日】 | あした【明日】,今日の次の日。 | 近い将来。 | 今日の翌日に。,"30193,30194"
내일모레,名詞,あさって・みょうごにち【明後日】 | あさって【明後日】,明日の次の日。 | 近い将来。,39894
낼,名詞,あした・あす・みょうにち【明日】。よくじつ【翌日】,今日の次の日。,41161
냄비,名詞,なべ【鍋】,食べ物を沸かすときに使う窯より小さく、蓋と取っ手のある厨房道具。,41163
냄새,名詞,におい【匂い・臭い】 | におい【匂い・臭い】。けはい【気配】,鼻で感じられるもの。 | 事柄や現象などから感じられる趣・気配。,58180
냉장고,名詞,れいぞうこ【冷蔵庫】,飲食物が腐らないようにするか冷やすために低温で保管する箱形の機械。,31524
너,代名詞,おまえ【お前】。きみ【君】,聞き手が友人か目下の人である場合、その聞き手をさす語。,64390
너무,副詞,あまりに,一定の程度や限界をはるかに超えた状態で。,28183
너희,代名詞,おまえたち【お前たち】。きみたち【君たち】。おまえら【お前等】。きみら【君等】 | おまえたち【お前たち】。きみたち【君たち】。おまえら【お前等】。きみら【君等】,聞き手が複数の友人か目下の人たちである場合、その聞き手をさす語。 | 聞き手が友人か目下の人である場合、その聞き手を含めた複数の人をさす語。,61180
넌,品詞なし,あなたは。きみは【君は】。おまえは【お前は】,「너는」の縮約形。,86216
널,品詞なし,あなたを。きみを【君を】。おまえを【お前を】,「너를」の縮約形。,86062
넓다,形容詞,ひろい【広い】 | ひろい【広い】 | ひろい【広い】 | ひろい【広い】,面や床などの面積が広い。 | 幅が広い。 | 心や考えが大きくて寛大だ。 | 内容や範囲が広く行き渡っている。,64511
넘다,動詞,こえる【越える・超える】 | こえる【越える】。こす【越す】 | こえる【越える】 | こえる【越える・超える】 | こす【越す】。のりこえる【乗り越える】 | とびこえる【飛び越える】。とびこす【飛び越す】 | あふれる【溢れる】 | こえる【越える・超える】,ある時間、時期などが過ぎたり、期限、範囲などを超過するようになる。 | 高い物の上を通り過ぎる。 | 境界を渡っていく。 | 一定の基準や限界を超過する。 | 困難を通って、その先へ進む。 | 何かを隔てて向こうへ飛ぶ。 | ある空間がいっぱいになって残りが外に出る。 | ある基準を上回る。,64524
넘어지다,動詞,ころぶ【転ぶ】 | たおれる【倒れる】。とうさんする【倒産する】,立っていた人や物がバランスを失って一方に傾いて倒れる。 | つぶれたり、何かに失敗したりする。,62363
넣다,動詞,いれる【入れる】 | いれる【入れる】 | いれる【入れる】 | いれる【入れる】。こめる【込める】 | いれる【入れる】 | いれる【入れる】 | あずける【預ける】。ふりこむ【振り込む】 | いれる【入れる】 | いれる【入れる】。かいする【介する】 | さしだす【差し出す】 | いれる【入れる】。こめる【込める】 | かける【掛ける】 | つける【点ける】。ともす【点す・灯す】 | とどける【届ける】 | まく,ある空間の中に入らせる。 | 異なる物と会わせたり混ぜたりする。 | ある範囲内に含める。 | 何かを間に挟んだり加えたりして、ある効果を出す。 | ある集団や団体の一員とする。 | 機械などに動力を通じさせて作動させる。 | 銀行に金銭を入金する。 | 模様や文字などを書いたり印刷したりして、ある空間に入らせる。 | 両者の間に第三者を立てる。 | 何かを申し込むために書類を提出する。 | ある動作をするために力を使う。 | 目的を成すために他人にある作用をする。 | 暖房や料理などに用いられる施設や装置に点火する。 | 新聞や牛乳などを定期的に配達する。 | 土に種を散らし埋める。,64509
