韓国語,品詞,日本語訳,定義,target_codes
걸어가다,動詞,あるいていく【歩いていく】。あゆんでいく【歩んでいく】 | あるいていく【歩いていく】。あゆんでいく【歩んでいく】 | あるいていく【歩いていく】。あゆんでいく【歩んでいく】,目的地に向かって、足を動かして進む。 | 目的地に到達するためにある道を通り過ぎる。 | (比喩的に)ある分野の仕事をやり続けたり、運命的に与えられた過程を経て行ったりする。,32042
걸어오다,動詞,あるいてくる【歩いてくる】。あゆんでくる【歩んでくる】 | あるいてくる【歩いてくる】。あゆんでくる【歩んでくる】 | あるいてくる【歩いてくる】。あゆんでくる【歩んでくる】,目的地に向かって、足を動かして移ってくる。 | 目的地に到達するためにある道を通ってくる。 | (比喩的に)過ごしてきたり発展してきたりする。,64368
걸음,名詞,あゆみ【歩み】。ほこう【歩行】 | あし【足】 | あゆみ【歩み】 | ほ【歩】,両足を片方づつ交互に前に出して進む動作。 | ある場所を訪問すること。 | （比喩的に）行動や活動また決定。 | 両足を交互に前に出す回数をかぞえる単位。,25578
검사,名詞,けんさ【検査】,ある出来事や対象について良し悪しや是非などを調べること。,17236
검사하다,動詞,けんさする【検査する】,ある出来事や対象について良し悪しや是非などを調べる。,25239
검은색,名詞,くろいろ【黒色】,光がない時の夜空や、墨のような色。,31663
검정말,名詞,くろげ【黒毛】,毛色の黒い馬。,30060
검정색,名詞,くろいろ【黒色】,光がない時の夜空や墨のような色。,15935
검정콩,名詞,くろまめ【黒豆】,皮の色が黒い豆。,30061
것,依存名詞,こと。の。もの【物】 | の | の | の。こと | こと,正確に指す対象が決まってないものや事実。 | 人や動物を卑しめていう語。 | その人の所有であることを表す語。 | ある行為や状態、ことを表す語。 | ある事実に対する確信や強調を表す語。 | まだ起こってないことに対する予想や推測、計画を表す語。 | 命令や指示の意で文を結ぶ語。,62835
겉,名詞,おもて【表】。ひょうめん【表面】。そと【外】 | おもて【表】。がいめん【外面】,裏表のある物の外側の部分。 | 外に現れた様子や現象。,31329
게스트,名詞,ゲスト,放送番組に招待されて出る人。,26780
게으르다,形容詞,ぶしょうだ【不精だ】。ものぐさだ,行動がのろく、身体を動かしたり仕事をするのを面倒くさがる。,15948
게이머,名詞,ゲーマー,オンラインゲームやコンピューターゲームをする人。,28438
게임,名詞,ゲーム。あそびごと【遊びごと】 | ゲーム。しあい【試合】。きょうぎ【競技】 | ゲーム,ルールを決めて勝ち負けを決める遊び。 | 運動競技や試合。 | 勝負の回数をかぞえる単位。,57276
게임기,名詞,ゲームき【ゲーム機】,ゲームができるように作った電子機械。,28442
게임방,名詞,ゲームルーム,コンピューターゲームができるように施設を取り付けているルーム。,28445
겨울,名詞,ふゆ【冬】。とうき【冬季】,四季の中で最も寒く、秋と春の間の季節。,64367
겨울 방학,名詞（句）,ふゆやすみ【冬休み】。とうききゅうぎょう【冬季休業】。とうききゅうか【冬季休暇】,冬の一番寒い時期に学校の授業をしばらく休みにすること。また、その期間。,28476
겨울나무,名詞,ふゆき・ふゆぎ【冬木】,冬になって葉が落ち尽くして枝だけの姿になった木。,28471
겨울날,名詞,とうじつ・ふゆび【冬日】,冬の日。,28472
겨울눈,名詞,ふゆめ・とうが【冬芽】,晩夏から秋に形成され、越冬した後、翌年の春に伸びる芽。,28473
겨울바람,名詞,ふゆかぜ【冬風】。ふゆのかぜ【冬の風】,冬に吹く冷たい風。,28475
겨울비,名詞,ふゆさめ【冬雨】。ふゆのあめ【冬の雨】,冬に降る雨。,28477
