韓国語,品詞,日本語訳,定義
고르다,動詞,えらぶ【選ぶ】。せんたくする【選択する】,多くの中からある物を取り出す。
고민되다,動詞,なやむ【悩む】,心の中に悩み事があって苦しみ、思いわずらう。
고민하다,動詞,なやむ【悩む】,心の中に悩み事があって苦しみ、思いわずらう。
고치다,動詞,なおす【直す】,壊れたり使えなくなったりしたものを役に立つようにする。
교육되다,動詞,きょういくされる【教育される】,知識・教養・技術などを教わって能力が高まる。
교육하다,動詞,きょういくする【教育する】,個人の能力を育てるため、知識・教養・技術などを教える。
교환되다,動詞,こうかんされる【交換される】,何かが別のものと取り替えられる。
교환하다,動詞,こうかんする【交換する】,何かを別のものと取り替える。
구경하다,動詞,けんぶつする【見物する】,興味や関心を持って見る。
귀여워하다,動詞,かわいがる【可愛がる】,自分より幼い人や動物を可愛いと思ってやさしく扱う。
그리다,動詞,かく・えがく【描く】,鉛筆や筆などを利用して、線や色で物を表す。
그만두다,動詞,やめる【止める・辞める】,やっていることを中断する。
그치다,動詞,やむ【止む】。とまる【止まる】,続いていたこと、動き、現象などが続かなくなる。
기다리다,動詞,まつ【待つ】,人や時期が来たり、あることが行われたりするまで時間を過ごす。
기르다,動詞,そだてる【育てる】。かう【飼う】。やしなう【養う】,動植物に餌や養分をやって、保護して、成長させる。
기뻐하다,動詞,よろこぶ【喜ぶ】,楽しく快い気持ちになる。
기억나다,動詞,おもいだす【思い出す】,以前の姿、事実、知識、経験などが心や頭の中によみがえる。
기억되다,動詞,きおくされる【記憶される】。おぼえられる【覚えられる】,以前の姿、事実、知識、経験などが忘れられなかったり、再び思い出したりする。
기억하다,動詞,きおくする【記憶する】。おぼえる【覚える】,以前の姿、事実、知識、経験などを忘れなかったり、再び思い出したりする。
기침하다,動詞,せきをする【咳をする】,肺からのどを通って空気が荒い音を出しながら急に出る。
깨다,動詞,さめる【覚める】,酔っている状態などから、意識のはっきりした状態に戻る。
꺼내다,動詞,だす【出す】。とりだす【取り出す】。もちだす【持ち出す】,中にある物を外に移す。
꾸다,動詞,みる【見る】,寝ている間、夢の中で実際のように見て、聞いて、感じる。
끄다,動詞,けす【消す】,燃えている火をなくならせる。
끼다,動詞,はさむ【挟む】。さしこむ【差し込む】。はめる【填める】,物と物との間に何かを入れて落ちないようにする。
나가다,動詞,でる【出る】,ある地域や空間の中から外へ移動する。
나누다,動詞,わける【分ける】。わる【割る】。ぶんかつする【分割する】,一つにまとまっている物をいくつかの部分にする。
나다,動詞,できる【出来る】。はえる【生える】,皮膚の表面や地上に出て来る。
나오다,動詞,でる【出る】,中から外へ移動する。
나타나다,動詞,あらわれる【現れる】,見えなかった物の姿が見えるようになる。
내다,動詞,とおす【通す】。ひらく【開く】。つくる【作る】,道や通路、窓などができるようにする。
내려가다,動詞,おりる【下りる】。くだる【下る】,上から下へ行く。
내려오다,動詞,おりる【下りる】。くだる【下る】,高い所から低い所へ、また上から下へ来る。
내리다,動詞,ふる【降る】,雪や雨などが落ちて来る。
노래하다,動詞,うたう【歌う】,歌詞のある音楽を声に出して歌う。
노력하다,動詞,どりょくする【努力する】。とりくむ【取り組む】。じんりょくする【尽力する】,ある目的を成し遂げるために力を尽くして励む。
누르다,動詞,おす【押す】。おさえる【押さえる・圧さえる】,物の全体や部分に上から力を加える。
느끼다,動詞,かんずる【感ずる】。おぼえる【覚える】,鼻や肌などの感覚器官で刺激を受け取る。
다녀오다,動詞,いってくる【行って来る】,ある所に行って帰ってくる。
다니다,動詞,かよう【通う】,あるところに何度も出入りする。
다치다,動詞,きずつく【傷付く】。けがする【怪我する】。ふしょうする【負傷する】,ぶつかったり殴られたりして体や体の一部に傷を負う。また、傷を負わせる。
다하다,動詞,つきる【尽きる】,全部使ってしまったり続かなくなったりする。
대답하다,動詞,こたえる【答える】。へんとうする【返答する】。へんじする【返事する】,呼びかけに対して言葉で応じる。
대화하다,動詞,たいわする【対話する】。はなす【話す】。かいわする【会話する】。おしゃべりする【御喋りする】,向かい合って話し合う。
더워지다,動詞,あつくなる【暑くなる】。あつくなる【熱くなる】。ねっする【熱する】,温度が上がる。また、それによってあつさを感じる。
데려가다,動詞,つれていく【連れて行く】,連れて一緒に行く。
데려오다,動詞,つれてくる【連れて来る】,連れて一緒に来る。
데이트하다,動詞,デートする,男女が付き合うために会う。
도시하다,動詞,ずしする【図示する】,絵や図表で示す。
도와주다,動詞,たすける【助ける】。てつだう【手伝う】。てだすけする【手助けする】。サポートする,他人の仕事に力を貸す。
도착하다,動詞,とうちゃくする【到着する】。つく【着く】,目的地に行きつく。
되다,動詞,なる,新たな身分や地位を持つ。
두다,動詞,おく【置く】,ある場所にとどめる。
디자인하다,動詞,デザインする,衣装・工業製品・建築など、実用的な目的を持った作品を設計したり図案を描いたりする。
떠나다,動詞,さる【去る】。いく【行く】,現在いるところから他のところに移って行く。
떠들다,動詞,さわぐ【騒ぐ】,大声でうるさく言う。
뛰다,動詞,はしる【走る】。かける【駆ける】,足を素早く動かして前へ進む。
뛰어가다,動詞,はしっていく【走って行く】。かける【駆ける】。かけよる【駆け寄る】。かけつける【駆付ける】。とんでいく【飛んで行く】,どこかに速く走って行く。
뜨다,動詞,あける【開ける】,閉じていた目を開く。
마르다,動詞,かわく【乾く】,水気が蒸発してすっかりなくなる。
마시다,動詞,のむ【飲む】。すう【吸う】。くらう【食らう】,水などの液体を喉へ送り込む。
마중하다,動詞,でむかえる【出迎える】,駅や空港などに出向いて、自分を訪ねてきた人を迎える。
마치다,動詞,おえる【終える】。すます【済ます】,続けてきた仕事や課程が終わる。また、そうさせる。
매다,動詞,むすぶ【結ぶ】,離れたり解けたりしないように、紐や縄の両端を組んでつなぐ。
메다,動詞,かつぐ【担ぐ】。になう【担う】。せおう【背負う】,ものを肩や背中などに載せる。
메모하다,動詞,メモする。かきとめる【書き留める】,忘れないように、または他の人に伝えるために、ある内容を簡単に書き記しておく。
모르다,動詞,しらない【知らない】。わからない【分からない】,人・物・事実などを知らない、または分からない。
모시다,動詞,つかえる【仕える】,目上の人や尊敬する人のそばで、世話をしたり一緒に暮らしたりする。
