word,pos,meaning,definition,target_codes
얘기되다,동사,はなされる【話される】。かたられる【語られる】。のべられる【述べられる】,"ある事実・状態・現象・経験・考えなどについて誰かに話す言葉や文章になる。 
",67259
얘기하다,동사,はなす【話す】。かたる【語る】。のべる【述べる】,"ある事実・状態・現象・経験・考えなどについて誰かに言う。 
",74202
어울리다,동사,わごうする【和合する】。ゆうわする【融和する】。あいわする【相和する】,互いに調和を成して一丸となる。,67048
여쭙다,동사,うかがう【伺う】,目上の人に申し上げる。,70666
여행하다,동사,りょこうする【旅行する】。たびする【旅する】	,"家を離れて他の地域や外国の各所を見物しながら巡る。
",30209
예매되다,동사,よやくされる【予約される】,乗車券や入場券などが期日より早く前もって購入される。,91706
예매하다,동사,よやくする【予約する】,乗車券や入場券などを期日より早く前もって買っておく。,14135
예습하다,동사,よしゅうする【予習する】	,"今後学ぶことを前もって学習する。
",14152
예약되다,동사,よやくされる【予約される】,席・部屋・物品などが使用できるように前もって約束される。,70603
예약하다,동사,よやくする【予約する】,席・部屋・物品などを使用するために前もって約束する。,14154
오다,동사,"くる【来る】。ちかづく【近づく】。やってくる
","何かが他の場所からこちらの方へ動く。
",69514
오르다,동사,"のぼる【上る・登る】。あがる【上がる・挙がる】
","人・動物などが低い所から高い所へ、または下から上へ動く。
",69518
외우다,동사,あんきする【暗記する】。おぼえる【覚える】。きおくする【記憶する】	,"言葉や文章を忘れないで頭の中に覚え込む。
",67856
외출하다,동사,がいしゅつする【外出する】。でかける【出掛ける】	,"用事があって、自宅や勤め先などからよそへ出かける。
",22162
요리되다,동사,りょうりされる【料理される】	,"料理が作られる。
",68808
요리하다,동사,りょうりする【料理する】	,"料理を作る。
",9471
우선하다,동사,ゆうせんする【優先する】,他のものより先に取り扱われたり特別に待遇される。,69475
위치하다,동사,いちする【位置する】,ある場所を占める。,69948
유학하다,동사,りゅうがくする【留学する】,外国に滞在して学ぶ。,70248
유행되다,동사,りゅうこうする【流行する】。はやる【流行る】,伝染病が世の中に広まる。,71018
유행하다,동사,りゅうこうする【流行する】。はやる【流行る】,伝染病が世の中に広まる。,62366
의미하다,동사,いみする【意味する】,言葉や文章、記号などがある物事を示す。,71119
이기다,동사,"かつ【勝つ】。うちかつ【打ち勝つ】。まかす【負かす】
","賭け事・試合・ケンカなどで、相手を制して良い結果を出す。
",71688
